франкфурт-на-майне	франкфурт -на -майн е
франкфурт	франкфурт
основополагающий	основополаг а ющ ий
полный	пол н ый
плексигласовый	плексиглас ов ый
химический	хим ическ ий
неподтвержденный	не подтвержд енн ый
качественный	кач еств енн ый
древневерхненемецкий	древн е верхн е немец к ий
немецкий	не мец к ий
обувнозаготовочный	обувн о за гот ов оч н ый
древний	древн ий
сентиментальность	сенти менталь н ость
чувствительность	чувств и тельн ость
заблагорассудиться	за благорас суд и ть ся
краситься	крас и ть ся
самогоноварение	сам о гон овар ени е
наркопреступность	наркопреступ н ость
полуразложившийся	по лураз ложив ш ий ся
полураспавшийся	по лурас пав ш ий ся
шумозаградительный	шум о за град и тельн ый
обеспечительный	о бес печ и тельн ый
нерасследованный	нерасслед ова нн ый
следственный	след ств енн ый
неосуществленный	не о существл енн ый
нереализованный	не реал из ова нн ый
люминесцентный	люминес центн ый
жирный	жир н ый
кровезаменитель	кро веза мен и тель
каратель	кар а тель
песчано-гравийный	песчан о -грав ий н ый
асфальтобетонный	асфальт о бетон н ый
валяносапожник	вал я носапож ник
башмачник	башмач ник
необуржуазный	не обуржуаз н ый
опасный	опас н ый
междоусобица	межд о у собиц а
война	войн а
непотопляемый	не по то пл я ем ый
верный	верн ый
лейб-гвардейский	лейб -г вардей ск ий
житейский	житей ск ий
предынфарктный	предынфаркт н ый
коматозный	комат оз н ый
завербовывать	за вербов ыва ть
нанимать	на ним а ть
склеропластика	склеро пласти к а
информатика	информати к а
неукоснительно	не укосн и тельн о
ветрено	ветр ен о
неоплатонизм	нео плат он изм
комизм	ком изм
поисково-спасательный	по иск о во -спас а тельн ый
пастельный	пас тельн ый
коксующийся	кокс у ющ ий ся
угольный	уголь н ый
эластокинематический	эластокинемат ическ ий
кинематический	кинемат ическ ий
восемьсотпятидесятилетие	восемьсотпят и десят и лет и е
возмездие	воз мез дие
неопознанный	нео позна нн ый
неизвестный	не из вестн ый
горюче-смазочный	горюче-смаз оч н ый
топливный	топливн ый
попустительствовать	по пуст и тель ств ова ть
потакать	потак а ть
спецслужбист	спецслужб ист
коммунист	коммун ист
самозатачивающийся	сам о затач ива ющ ий ся
твердосплавный	твердосплавн ый
биокибернетик	био кибернетик
учёный	уч ён ый
невосприимчивый	не воспри имчив ый
неподверженный	не под верж енн ый
ханты-мансийск	ханты -манс ий ск
торонто	торонт о
центрально-черноземный	цен тр аль н о -чернозем н ый
сонный	со нн ый
сергиево-посадский	сергиев о -посад ск ий
московский	моск ов ск ий
раннеперестроечный	раннепере стр о еч н ый
позднесоветский	позднес овет ск ий
нормальненько	нормальненьк о
сухо	сух о
залогодержатель	за логодерж а тель
банк	банк
азиатско-тихоокеанский	аз иат ск о -тих о океан ск ий
дальневосточный	дальневосточ н ый
гастроэнтеролог	гастр о энтер о лог
врач	врач
конституционно-правовой	конституционн о -прав ов ой
юридический	юрид ическ ий
камнесамоцветный	камнесам о цвет н ый
драгоценный	драгоц енн ый
горношахтный	горношахт н ый
промышленный	промышл енн ый
нечленораздельный	не членораз дель н ый
безмерный	без мер н ый
белогвардеец	белог варде ец
империя	импер и я
электронно-механический	электр о нн о -механ ич еск ий
эпический	эп ическ ий
